country_code,country_name,holiday_date,holiday_name
CN,China,2024-01-01,New Year's Day
CN,China,2024-02-04,Chinese New Year
CN,China,2024-02-05,Chinese New Year
CN,China,2024-02-06,Chinese New Year
CN,China,2024-02-07,Chinese New Year
CN,China,2024-02-08,Chinese New Year
CN,China,2024-02-09,Chinese New Year
CN,China,2024-02-10,Chinese New Year
US,United States,2024-01-01,New Year's Day
US,United States,2024-01-21,Martin Luther King Jr. Day
US,United States,2024-02-18,Presidents' Day
US,United States,2024-05-27,Memorial Day
US,United States,2024-07-04,Independence Day
US,United States,2024-09-02,Labor Day
US,United States,2024-10-14,Columbus Day
US,United States,2024-11-11,Veterans Day
US,United States,2024-11-28,Thanksgiving Day
US,United States,2024-12-25,Christmas Day
RU,Russia,2024-01-01,New Year's Day
RU,Russia,2024-01-02,New Year's Day
RU,Russia,2024-01-03,New Year's Day
RU,Russia,2024-12-31,test
